# ID, Label, Sum, Omnivariance, Eigenentropy, Linearity, Planarity, Sphericity, Anisotropy,Relative Height, Area Bounding Box, Area Oriented Bounding Box, Aspect Ratio, Density m2,Density m3, Area Convex Hull, Shape Index , Distance Z, Distance XY
 139.00000,   1.00000,   1.98846,   0.31124,   0.50966,   0.81251,   0.14988,   0.03761,   0.96239,   1.48000,  10.57920,   9.97857,   2.20154,  28.16033,  19.02726,   8.52955,   0.72350,   0.28242,   0.08075
 140.00000,   1.00000,   2.16840,   0.30448,   0.49460,   0.79872,   0.17589,   0.02539,   0.97461,   1.31000,  16.91498,  10.42540,   2.19253,  33.57186,  25.62737,   9.24194,   0.75869,   0.16834,   0.05293
 141.00000,   1.00000,   1.84804,   0.23109,   0.45146,   0.82492,   0.15607,   0.01901,   0.98099,   0.98000,   8.86163,   8.20139,   2.17963,  17.43607,  17.79192,   7.37130,   0.66436,   0.14434,   0.04509
 142.00000,   1.00000,   2.25577,   0.29567,   0.40827,   0.87957,   0.09209,   0.02835,   0.97165,   1.26000,   8.76964,   8.79409,   2.45691,  17.39805,  13.80798,   8.00279,   0.66640,   0.26105,   0.08898
 143.00000,   1.00000,   2.22139,   0.31354,   0.46609,   0.83528,   0.13568,   0.02904,   0.97096,   1.85000,   9.86479,   9.87878,   2.23839,  30.16568,  16.30577,   8.74345,   0.72874,   0.35460,   0.07654
 144.00000,   1.00000,   1.92384,   0.23615,   0.44900,   0.82431,   0.15779,   0.01790,   0.98210,   1.38000,  11.03341,  11.11398,   2.22620,  26.54315,  19.23417,   9.68236,   0.77155,   0.40081,   0.07847
 145.00000,   1.00000,   1.74211,   0.29711,   0.51621,   0.84246,   0.10123,   0.05631,   0.94369,   1.63000,   8.17187,   8.21072,   2.33975,  19.85210,  12.17920,   6.68329,   0.62111,   0.50702,   0.30706
 146.00000,   1.00000,   1.91718,   0.29924,   0.50471,   0.81830,   0.14373,   0.03797,   0.96203,   1.16000,  13.73103,   8.30478,   2.24783,  15.53322,  13.39071,   7.35991,   0.66326,   0.20550,   0.07893
 147.00000,   1.00000,   2.28641,   0.34433,   0.48369,   0.83334,   0.13104,   0.03561,   0.96439,   1.81000,  11.95480,  11.89496,   2.04479,  24.96856,  13.79479,  10.05250,   0.79456,   0.58268,   0.15649
 148.00000,   1.00000,   1.94548,   0.32360,   0.53371,   0.80274,   0.15257,   0.04469,   0.95531,   1.42000,  10.66725,  10.53936,   2.11094,  31.21631,  21.98332,   8.66794,   0.74486,   0.16812,   0.03705
 149.00000,   1.00000,   2.04041,   0.25265,   0.45274,   0.82173,   0.16002,   0.01824,   0.98176,   1.38000,  15.37853,   9.28381,   2.25421,  34.57632,  25.05532,   8.29900,   0.70390,   0.21371,   0.04031
 150.00000,   1.00000,   2.29491,   0.26511,   0.42734,   0.83736,   0.14714,   0.01550,   0.98450,   1.02000,  10.39495,  10.17125,   2.40893,  30.37974,  29.78406,   8.90249,   0.71876,   0.12822,   0.07629
 151.00000,   1.00000,   2.25208,   0.33123,   0.49392,   0.81264,   0.15667,   0.03069,   0.96931,   1.22000,  10.64805,  10.62712,   2.20064,  17.12600,  14.03770,   8.84955,   0.73964,   0.17962,   0.04698
 152.00000,   1.00000,   3.71987,   0.56715,   0.47094,   0.85397,   0.10548,   0.04055,   0.95945,   1.46000,  16.84311,  16.31180,   2.49284,  33.90183,  23.22044,  14.82450,   0.93323,   0.04123,   0.09521
 153.00000,   1.00000,   1.91516,   0.20408,   0.35732,   0.88959,   0.09477,   0.01565,   0.98435,   1.11000,   9.06831,   8.93036,   2.31865,  14.78104,  13.31625,   6.47625,   0.59577,   0.11015,   0.37771
 154.00000,   1.00000,   1.24686,   0.15287,   0.46532,   0.80572,   0.17743,   0.01685,   0.98315,   0.67000,   8.13507,   7.68143,   1.96813,  13.79951,  20.59628,   5.96297,   0.61226,   0.16849,   0.17992
 155.00000,   1.00000,   2.43330,   0.32829,   0.42900,   0.86508,   0.10624,   0.02868,   0.97132,   0.98000,  17.21118,  10.25965,   2.56425,  15.59507,  15.91335,   9.00344,   0.70471,   0.13213,   0.21789
 156.00000,   1.00000,   2.94394,   0.41198,   0.43283,   0.87082,   0.09585,   0.03333,   0.96667,   1.60000,  16.07047,  15.54315,   2.70288,  19.23677,  12.02298,  13.04421,   0.83991,   0.37247,   0.22324
 157.00000,   1.00000,   2.23976,   0.29118,   0.44720,   0.83716,   0.14036,   0.02247,   0.97753,   1.01000,  10.87896,  10.80922,   2.36568,  28.77174,  28.48687,   9.26575,   0.75253,   0.13715,   0.15676
 158.00000,   1.00000,   2.00471,   0.29684,   0.47396,   0.83997,   0.12545,   0.03458,   0.96542,   1.47000,   8.99639,   9.06843,   2.32292,  33.30236,  22.65466,   7.98480,   0.68887,   0.26434,   0.04939
 159.00000,   1.00000,   1.68617,   0.20883,   0.39896,   0.87648,   0.10033,   0.02319,   0.97681,   0.85000,   8.24610,   7.14226,   2.55583,  19.18160,  22.56659,   6.55110,   0.59182,   0.11639,   0.22559
 160.00000,   1.00000,   1.99398,   0.27975,   0.44803,   0.85448,   0.11462,   0.03090,   0.96910,   1.13000,  11.18405,   9.37148,   2.47073,  20.38099,  18.03628,   8.07495,   0.67853,   0.21919,   0.04165
 161.00000,   1.00000,   2.19374,   0.34337,   0.49924,   0.82681,   0.13370,   0.03949,   0.96051,   1.48000,  17.86904,  10.27030,   2.24199,  30.47622,  20.59204,   9.32291,   0.74616,   0.35134,   0.06277
 162.00000,   1.00000,   3.42323,   0.50251,   0.44593,   0.87111,   0.08979,   0.03910,   0.96090,   1.49000,  14.46748,  14.46748,   2.85777,  31.17336,  20.92171,  13.16259,   0.83750,   0.11786,   0.08041
 163.00000,   1.00000,   0.68487,   0.07010,   0.50738,   0.72423,   0.26754,   0.00823,   0.99177,   0.49000,   4.21823,   4.12949,   1.72564,  25.66904,  52.38576,   3.44042,   0.48160,   0.12208,   0.03567
